index,A3-Tipo01_DU,A3-Tipo01_DO,A3-Tipo01_SA,A3-Tipo02_DU,A3-Tipo02_DO,A3-Tipo02_SA,A3-Tipo03_DU,A3-Tipo03_DO,A3-Tipo03_SA,A3-Tipo04_DO,A3-Tipo04_DU,A3-Tipo04_SA,A3-Tipo05_SA,A3-Tipo05_DU,A3-Tipo05_DO,COM-Tipo01_DO,COM-Tipo01_DU,COM-Tipo01_SA,COM-Tipo02_DU,COM-Tipo02_SA,COM-Tipo02_DO,COM-Tipo03_DO,COM-Tipo03_DU,COM-Tipo03_SA,COM-Tipo04_DO,COM-Tipo04_DU,COM-Tipo04_SA,COM-Tipo05_DO,COM-Tipo05_DU,COM-Tipo05_SA,IND-Tipo01_DU,IND-Tipo01_DO,IND-Tipo01_SA,IND-Tipo02_DO,IND-Tipo02_DU,IND-Tipo02_SA,IND-Tipo03_DO,IND-Tipo03_DU,IND-Tipo03_SA,IND-Tipo04_DO,IND-Tipo04_DU,IND-Tipo04_SA,IND-Tipo05_DO,IND-Tipo05_DU,IND-Tipo05_SA,IP-Tipo1_DU,IP-Tipo1_DO,IP-Tipo1_SA,MT-Tipo01_DU,MT-Tipo01_DO,MT-Tipo01_SA,MT-Tipo02_DO,MT-Tipo02_DU,MT-Tipo02_SA,MT-Tipo03_DU,MT-Tipo03_DO,MT-Tipo03_SA,MT-Tipo04_DO,MT-Tipo04_DU,MT-Tipo04_SA,MT-Tipo05_DO,MT-Tipo05_DU,MT-Tipo05_SA,MT-Tipo06_DO,MT-Tipo06_DU,MT-Tipo06_SA,RES-Tipo01_DO,RES-Tipo01_DU,RES-Tipo01_SA,RES-Tipo02_DU,RES-Tipo02_DO,RES-Tipo02_SA,RES-Tipo03_DU,RES-Tipo03_DO,RES-Tipo03_SA,RES-Tipo04_DO,RES-Tipo04_DU,RES-Tipo04_SA,RES-Tipo05_DU,RES-Tipo05_DO,RES-Tipo05_SA,RUR-Tipo01_DO,RUR-Tipo01_DU,RUR-Tipo01_SA,RUR-Tipo02_DU,RUR-Tipo02_DO,RUR-Tipo02_SA,RUR-Tipo03_DO,RUR-Tipo03_DU,RUR-Tipo03_SA,RUR-Tipo04_DO,RUR-Tipo04_DU,RUR-Tipo04_SA,RUR-Tipo05_DO,RUR-Tipo05_DU,RUR-Tipo05_SA,SP-Tipo01_DU,SP-Tipo01_DO,SP-Tipo01_SA,SP-Tipo02_DU,SP-Tipo02_DO,SP-Tipo02_SA,SP-Tipo03_DO,SP-Tipo03_DU,SP-Tipo03_SA,SP-Tipo04_DO,SP-Tipo04_DU,SP-Tipo04_SA
0,0.905116,1.0,1.0,0.239906,0.872637,0.581302,0.743167,1.0,0.74895,0.795814,0.647687,1.0,0.412903,0.127194,0.795297,0.949364,0.862287,0.873791,0.143234,0.433379,0.653516,0.627812,0.361754,0.474167,0.877313,0.090741,0.233223,0.910309,1.0,0.991548,0.383333,0.890756,0.58125,0.868852,0.818182,0.859155,0.9375,0.826923,0.903846,0.857143,0.082474,0.611111,0.9375,0.081081,0.555556,1.0,1.0,1.0,0.169355,0.758621,0.758621,0.806523,0.284922,0.566923,0.417369,0.845371,0.770656,0.972353,0.998699,0.961765,0.851955,0.51834,0.752301,0.96045,0.141642,0.550211,0.844762,0.728244,0.854652,0.69759,0.781694,0.879405,0.98946,0.83604,1.0,0.984108,1.0,0.888106,0.862292,0.901386,0.888394,0.61046,0.414665,0.511487,0.763302,0.855854,0.917485,0.967967,1.0,0.718513,0.962005,0.908431,0.905988,0.757943,0.650577,0.798352,0.764219,0.842053,0.794938,0.210769,0.768409,0.647186,0.898551,0.707317,1.0,0.850829,0.168317,0.86911
1,0.902691,0.997669,0.995691,0.238352,0.857663,0.576636,0.742629,0.949621,0.747389,0.788557,0.647501,0.999985,0.40169,0.128678,0.816704,0.937044,0.858008,0.870821,0.141743,0.425918,0.633509,0.627763,0.365006,0.472551,0.865254,0.091436,0.227809,0.928699,0.98483,0.994659,0.380278,0.869592,0.5716,0.863843,0.812021,0.845201,0.920557,0.82541,0.903846,0.892526,0.09008,0.624871,0.9375,0.081081,0.551852,1.0,1.0,1.0,0.169355,0.779693,0.752874,0.803179,0.272026,0.570869,0.416675,0.842901,0.769347,0.971798,0.999247,0.963391,0.851516,0.513666,0.756932,0.952872,0.142877,0.550153,0.842867,0.727244,0.854655,0.684242,0.767711,0.874421,0.993294,0.83603,0.99949,0.964568,0.996014,0.891112,0.844899,0.881897,0.871422,0.569042,0.414034,0.512025,0.765711,0.853001,0.909544,0.955687,0.995215,0.742172,0.962109,0.906137,0.902389,0.747783,0.614962,0.808873,0.760349,0.82527,0.788221,0.20559,0.763408,0.639493,0.892747,0.705262,0.996268,0.845879,0.167987,0.866981
2,0.900421,0.995455,0.991641,0.236841,0.842908,0.571628,0.742214,0.90213,0.745915,0.781381,0.646975,0.999943,0.391172,0.130065,0.833615,0.925471,0.85397,0.86778,0.140162,0.418783,0.614765,0.627623,0.367186,0.470969,0.853871,0.092085,0.223106,0.945094,0.970615,0.99692,0.377778,0.851229,0.562731,0.859745,0.80621,0.832029,0.904578,0.821225,0.903846,0.925926,0.09742,0.63786,0.9375,0.081081,0.548148,1.0,1.0,1.0,0.169355,0.796935,0.747126,0.80014,0.25967,0.574847,0.415972,0.840586,0.768066,0.971426,0.999614,0.964692,0.850282,0.508895,0.761262,0.945766,0.143899,0.549985,0.840794,0.726222,0.854664,0.670373,0.757115,0.864479,0.9961,0.835998,0.998061,0.946438,0.992283,0.893126,0.828548,0.863651,0.855503,0.533052,0.412283,0.512385,0.767326,0.850636,0.902115,0.943961,0.989521,0.762327,0.962404,0.903596,0.898775,0.739301,0.581824,0.817826,0.75673,0.809559,0.781915,0.200726,0.758503,0.632355,0.887547,0.703884,0.990468,0.841252,0.167657,0.864973
3,0.898394,0.993374,0.988057,0.235373,0.828376,0.566302,0.741911,0.860324,0.744617,0.774288,0.646152,0.999877,0.381837,0.131314,0.8463,0.915222,0.850411,0.864669,0.138498,0.412011,0.597665,0.627397,0.368509,0.469421,0.843841,0.092671,0.219237,0.958892,0.957972,0.998458,0.375833,0.836134,0.555078,0.856557,0.800821,0.820423,0.889757,0.814904,0.903846,0.955357,0.104473,0.649306,0.9375,0.081081,0.544444,1.0,1.0,1.0,0.169355,0.810345,0.741379,0.797543,0.247908,0.578855,0.415261,0.83853,0.766816,0.971201,0.999837,0.965682,0.848375,0.504031,0.765174,0.939455,0.144703,0.549715,0.838557,0.725181,0.854678,0.656006,0.74953,0.850503,0.998027,0.835946,0.995862,0.930674,0.989016,0.894349,0.813484,0.847046,0.841372,0.503427,0.409623,0.512604,0.768306,0.848772,0.895379,0.932854,0.983025,0.778622,0.962862,0.900831,0.895145,0.732572,0.552945,0.825058,0.753455,0.795548,0.776126,0.196417,0.753697,0.62615,0.883152,0.703049,0.982946,0.837086,0.167327,0.863111
4,0.896697,0.991443,0.985146,0.233951,0.814074,0.560682,0.741708,0.826999,0.743581,0.76728,0.645077,0.999791,0.374172,0.132384,0.855028,0.906874,0.847571,0.861492,0.136756,0.405637,0.58259,0.627093,0.369188,0.46791,0.83584,0.093176,0.216324,0.969492,0.947519,0.999399,0.374444,0.824774,0.549074,0.854281,0.795922,0.811163,0.876286,0.80698,0.903846,0.978836,0.11122,0.658436,0.9375,0.081081,0.540741,1.0,1.0,1.0,0.169355,0.819923,0.735632,0.795521,0.236796,0.582893,0.41454,0.836839,0.765597,0.971085,0.999952,0.966374,0.845919,0.499075,0.76855,0.93426,0.145283,0.54935,0.836172,0.72412,0.854696,0.641165,0.744578,0.833418,0.999221,0.835874,0.993042,0.918232,0.986424,0.894976,0.799953,0.832482,0.829761,0.481106,0.406263,0.512716,0.768809,0.847423,0.889516,0.922432,0.975833,0.790703,0.963458,0.897862,0.8915,0.727672,0.530109,0.830415,0.750619,0.783864,0.770959,0.192904,0.748993,0.621252,0.879764,0.70262,0.974045,0.833517,0.166997,0.861418
5,0.895415,0.989679,0.983115,0.232577,0.800006,0.554791,0.741595,0.804953,0.742895,0.760358,0.643794,0.999687,0.368666,0.133233,0.860067,0.901003,0.845692,0.858251,0.13494,0.399698,0.569919,0.626718,0.369438,0.466436,0.830543,0.093582,0.214486,0.976293,0.939874,0.999871,0.373611,0.817616,0.545153,0.852914,0.791585,0.805034,0.864358,0.797988,0.903846,0.994378,0.11764,0.66448,0.9375,0.081081,0.537037,1.0,1.0,1.0,0.169355,0.82567,0.729885,0.794209,0.226389,0.586961,0.41381,0.83562,0.764411,0.971042,0.999994,0.966779,0.843037,0.49403,0.771271,0.930503,0.145635,0.548899,0.833652,0.723041,0.854718,0.625873,0.741883,0.814147,0.99983,0.835781,0.989752,0.910066,0.984714,0.895208,0.7882,0.820358,0.821405,0.467025,0.402416,0.512757,0.768994,0.846604,0.884708,0.912759,0.968051,0.798212,0.964163,0.894712,0.887839,0.724677,0.515099,0.833742,0.748316,0.775136,0.766519,0.190429,0.744394,0.618038,0.877583,0.702462,0.964111,0.830686,0.166667,0.859919
6,0.894636,0.988099,0.982171,0.231253,0.786179,0.548654,0.741559,0.796983,0.742647,0.753524,0.642349,0.99957,0.365806,0.133819,0.861687,0.898186,0.845012,0.854947,0.133057,0.394231,0.560034,0.626278,0.369474,0.465,0.828627,0.09387,0.213847,0.978694,0.935654,1.0,0.373333,0.815126,0.54375,0.852459,0.787879,0.802817,0.854167,0.788462,0.903846,1.0,0.123711,0.666667,0.9375,0.081081,0.533333,1.0,1.0,1.0,0.169355,0.827586,0.724138,0.793742,0.216743,0.591059,0.413073,0.834978,0.763258,0.971036,1.0,0.966912,0.839851,0.4889,0.773222,0.928506,0.145753,0.54837,0.831011,0.721943,0.854744,0.610153,0.741068,0.793617,1.0,0.835668,0.98614,0.907131,0.984098,0.895241,0.778473,0.811073,0.817037,0.462124,0.398292,0.512763,0.76902,0.846327,0.881136,0.9039,0.959784,0.800794,0.964953,0.891401,0.884163,0.723662,0.5097,0.834885,0.746639,0.76999,0.762913,0.189231,0.739905,0.616883,0.876812,0.702439,0.953488,0.828729,0.166337,0.858639
7,0.89416,0.98677,0.981863,0.229954,0.770854,0.541045,0.741638,0.797104,0.742647,0.745898,0.640145,0.999406,0.364518,0.13422,0.856267,0.897277,0.845012,0.851343,0.130863,0.389508,0.552117,0.624664,0.367394,0.46343,0.828627,0.094088,0.214635,0.976836,0.933797,0.999376,0.374074,0.818238,0.544213,0.853294,0.784418,0.802817,0.845615,0.773237,0.893875,1.0,0.130093,0.666667,0.9375,0.081081,0.52963,1.0,1.0,1.0,0.169355,0.822478,0.717593,0.793843,0.206857,0.595783,0.412215,0.834726,0.762216,0.971679,0.998238,0.966462,0.834433,0.482876,0.774634,0.927557,0.145499,0.546691,0.827866,0.720654,0.854817,0.592527,0.746087,0.76472,0.999114,0.833846,0.98015,0.907738,0.984158,0.893977,0.770626,0.80392,0.81532,0.468111,0.392375,0.511709,0.765392,0.846908,0.87828,0.895317,0.948782,0.798353,0.966639,0.887642,0.880424,0.725454,0.510485,0.833002,0.745506,0.767001,0.759983,0.188847,0.735766,0.617124,0.877348,0.703884,0.938541,0.827297,0.165961,0.857443
8,0.89374,0.985664,0.981604,0.228669,0.75367,0.531663,0.741864,0.797406,0.742647,0.7373,0.636641,0.999151,0.363415,0.134549,0.842435,0.896665,0.845012,0.847386,0.128298,0.385497,0.545091,0.621354,0.362196,0.461689,0.828627,0.09429,0.216604,0.97219,0.932608,0.997613,0.375926,0.826019,0.54537,0.855495,0.780958,0.802817,0.83822,0.75,0.868946,1.0,0.136966,0.666667,0.9375,0.081081,0.525926,1.0,1.0,1.0,0.169355,0.809706,0.710089,0.794135,0.196397,0.601256,0.411216,0.834573,0.761296,0.973386,0.993777,0.965339,0.825707,0.475793,0.775836,0.926741,0.144857,0.543266,0.824105,0.719139,0.854958,0.572645,0.758633,0.723816,0.996694,0.829223,0.970659,0.909255,0.984309,0.890657,0.764043,0.797799,0.814225,0.483078,0.383743,0.508865,0.756322,0.848375,0.875605,0.886745,0.934338,0.791724,0.969589,0.883323,0.87661,0.730038,0.512491,0.828292,0.744674,0.764379,0.757442,0.188608,0.732017,0.617725,0.87869,0.707498,0.917715,0.825987,0.16553,0.856247
9,0.893388,0.984658,0.981397,0.227424,0.7367,0.521916,0.742224,0.797799,0.742647,0.728782,0.631961,0.998794,0.362518,0.134823,0.823839,0.896222,0.845012,0.843357,0.125638,0.381775,0.538947,0.617235,0.355439,0.45998,0.828627,0.094464,0.219164,0.966151,0.931756,0.994873,0.378333,0.836134,0.546875,0.858607,0.777778,0.802817,0.831597,0.723558,0.836538,1.0,0.143594,0.666667,0.9375,0.081081,0.522222,1.0,1.0,1.0,0.169355,0.793103,0.702586,0.794597,0.186421,0.606759,0.410207,0.834468,0.760404,0.975824,0.987852,0.963879,0.81508,0.468611,0.776855,0.926076,0.144007,0.538815,0.820152,0.717603,0.855131,0.552219,0.774943,0.677028,0.9931,0.822694,0.959214,0.911227,0.984505,0.885983,0.758255,0.792522,0.81345,0.502536,0.373493,0.504708,0.74453,0.850316,0.87326,0.878662,0.918881,0.781948,0.973102,0.878737,0.87278,0.736224,0.515189,0.82217,0.743998,0.762201,0.755206,0.188442,0.728361,0.618506,0.880435,0.712195,0.894477,0.824862,0.165099,0.855148
