PAC,long,lat
3869809238466590,-38.46659000012835,-3.869809199734732
3858086238471499,-38.47149899987892,-3.8580861996183557
3858336238470831,-38.47083099965084,-3.8583362003553248
3859640738470982,-38.470982000319,-3.859640700258069
3857448938471999,-38.47199899955416,-3.857448900446343
3857448938471999,-38.47180100031585,-3.857874699757531
3859216538471156F,-38.47115600024915,-3.8592164999414535
3859640738470982,-38.470982000319,-3.859640700258069
3859923138470880,-38.47088000011189,-3.859923099971013
3858050538471601F,-38.471601000086025,-3.858050500130446
3858050538471601F,-38.47149899987892,-3.8580861996183557
3858279038470984,-38.47083099965084,-3.8583362003553248
3858449538470493,-38.47033400011395,-3.8585120996536375
3858704838469702,-38.469682999770555,-3.858711599860385
3858816238469416,-38.46941600004834,-3.8588162000075954
3858930138469131,-38.46913100039529,-3.858930100044063
3858930138469131,-38.46879200005071,-3.8590706002279944
3858081538471494F,-38.47141599964863,-3.8580044998077483
3858342438470833F,-38.47084999962772,-3.858384799718692
3859642838470988F,-38.47122499983385,-3.859721599672014
3859642838470988F,-38.47125200017962,-3.8597228002669794
3880168238459021F,-38.4590640002034,-3.880253800072751
3861237738466706,-38.46657500033598,-3.860779500073818
3863146338464668,-38.46466799962843,-3.863155499926336
3863487338463533F,-38.463566000070784,-3.86360690023821
3863146338464668,-38.46427699958383,-3.8632685995661973
3863146338464668,-38.46353300034764,-3.8634873002986296
3858443538471521,-38.47171700003946,-3.85807000013034
3859923138470880,-38.47088899962756,-3.859921799551387
3857563138466556,-38.466898999988814,-3.857537599680427
3857563138466556,-38.46757599973256,-3.8574765995653593
3857563138466556,-38.46752199994029,-3.857020500295789
3859868538465169F,-38.46508800011105,-3.8596260997646255
3859626138465088,-38.46500499988082,-3.8593114998258216
3859149538464936,-38.46493600029612,-3.859149500449064
3859149538464936,-38.46478399958187,-3.858679799832828
3858679838464784,-38.46470300034315,-3.8583857997647897
3858011938471711,-38.47171099976276,-3.858011900328904
3866459638468581,-38.468581000212964,-3.8664596001303835
3858086238471499,-38.47149899987892,-3.8580861996183557
3858086238471499,-38.47098400041125,-3.8582789998758926
3858279038470984,-38.4709800002268,-3.8582728997744766
3858590838470017F,-38.4699510004383,-3.858330100253852
3857488438469672F,-38.46964299972461,-3.8575229002615856
3858330138469951,-38.46986299997741,-3.8580279001674285
3858603538470021,-38.47001699988459,-3.8585908002252154
3858027938469863,-38.4697680000931,-3.8577354999932822
3858532838470239,-38.47002100006904,-3.858603499551805
3858871938471298,-38.471520999994084,-3.858443500267299
3858570938474443,-38.474534000443725,-3.8585687002852183
3858448838471529F,-38.471842999554724,-3.8586683002018276
3858668338471843,-38.4722229999914,-3.8586766998697613
3858668338471843,-38.47265700022035,-3.858641100206569
3858807638472544,-38.47250899969055,-3.8591131003892087
3858807638472544,-38.472474999921246,-3.8597039001148232
3858807638472544,-38.472441000152,-3.860033200371845
3858647338472653F,-38.472653000035905,-3.858647300132759
3858641138472657,-38.47265700022035,-3.858641100206569
3858443538471521,-38.471520999994084,-3.858443500267299
3858641138472657,-38.47265700022035,-3.858641100206569
3858641138472657,-38.473361000309865,-3.858604399773185
3858641138472657,-38.474083000330154,-3.8585831002298505
3860634738466538,-38.46653800042833,-3.8606347002311736
3860779538466575,-38.46657500033598,-3.860779500073818
3859948338466326,-38.46632599964511,-3.859948299874077
3860309338465312,-38.46531199964903,-3.8603093003338813
3860309338465312,-38.46565099999361,-3.860198299711726
3860309338465312,-38.46632599964511,-3.859948299874077
3860779538466575,-38.466584999897805,-3.8607882999400545
3861318138470187F,-38.47012100018395,-3.861203200367356
3861326538470194,-38.4701869996303,-3.8613180995506013
3861589938470061F,-38.470193999953096,-3.8613265001178547
3877362238462348,-38.462446999729195,-3.8771903998170387
3877362238462348,-38.4628019999123,-3.8764944999211934
3873535738464503F,-38.46470200029705,-3.8731886001737053
3859640738470982,-38.47108200043391,-3.859381500355937
3872623938465023,-38.46502299981154,-3.872623899673158
3871480338465686F,-38.46568599980901,-3.8714803001756763
3867568938467929,-38.467928999823414,-3.8675689003844127
3878995038460977,-38.46097700028827,-3.8789950001191187
3878725438461380,-38.461379999986946,-3.8787253995574815
3877546538462234F,-38.462233999799196,-3.8775464998710163
3877546538462234,-38.462233999799196,-3.8775464998710163
3877840938462076,-38.462075999707565,-3.8778409001373575
3855720338462802,-38.4628019999123,-3.8557203000517575
3855528738464300,-38.46429999974515,-3.8555287003891863
3855554738464367,-38.46436700013692,-3.8555546997895362
3857354938464406,-38.46440600013676,-3.8573548997088096
3857354938464406,-38.46440600013676,-3.8566312997946284
3856631338464406,-38.464411000367306,-3.856271300280241
3855906038464412,-38.46441200041346,-3.855906000161724
3855494838463914,-38.463913999931094,-3.85549480044466
